"test","stratum","condition","model","n_test","n_control","median_test","median_control","diff_within","p","p_adj"
"condition_within_cellline","IMR90","SIPS","scaled_diff",18,33,20.8520767663868,-15.3338763090638,36.1859530754506,7.09480012799089e-05,0.000227033604095709
"condition_within_cellline","IMR90","SIPS","yugene_diff",18,33,28.4413219232069,-11.6719313887783,40.1132533119852,4.94954854656506e-07,7.91927767450409e-06
"condition_within_cellline","IMR90","OIS","scaled_diff",19,33,29.1622177734661,-15.3338763090638,44.4960940825299,8.54702052777068e-07,1.36752328444331e-05
"condition_within_cellline","IMR90","OIS","yugene_diff",19,33,27.4217560505946,-11.6719313887783,39.0936874393729,1.03871204984996e-05,7.92495071671273e-05
"condition_within_cellline","IMR90 ER:RAS","OIS","scaled_diff",9,9,18.6220332729916,-11.4274869787872,30.0495202517788,4.11353352529823e-05,0.000164541341011929
"condition_within_cellline","IMR90 ER:RAS","OIS","yugene_diff",9,9,12.2407548583293,-1.35185747917745,13.5926123375068,0.0503085150143974,0.106060606060606
"condition_within_cellline","MRC-5","CICQ","scaled_diff",3,3,18.1258933742531,-4.10327738461881,22.2291707588719,0.1,0.145454545454545
"condition_within_cellline","MRC-5","CICQ","yugene_diff",3,3,49.058443721461,9.15645927180725,39.9019844496538,0.1,0.145454545454545
"condition_within_cellline","Tig3ET","SSCQ","scaled_diff",3,9,10.3245812294204,19.2806351807508,-8.9560539513304,0.209090909090909,0.24198584127819
"condition_within_cellline","Tig3ET","SSCQ","yugene_diff",3,9,9.02781174328921,3.1960593459149,5.83175239737431,0.209090909090909,0.238961038961039
"condition_within_cellline","Tig3ET","OIS","scaled_diff",6,9,41.5127503872362,19.2806351807508,22.2321152064854,0.0027972027972028,0.00639360639360639
"condition_within_cellline","Tig3ET","OIS","yugene_diff",6,9,19.6395150916361,3.1960593459149,16.4434557457212,0.011988011988012,0.0383616383616384
"condition_within_cellline","WI-38","OIS","scaled_diff",3,5,51.4608931898875,3.1590858828731,48.3018073070144,0.0357142857142857,0.0634920634920635
"condition_within_cellline","WI-38","OIS","yugene_diff",3,5,50.2140236402026,20.9409700935607,29.2730535466419,0.0357142857142857,0.0952380952380952
"condition_within_tissue","Foreskin","CICQ","scaled_diff",8,25,30.947954110408,42.8330522036561,-11.8850980932481,0.162429462763167,0.19852489893276
"condition_within_tissue","Foreskin","CICQ","yugene_diff",8,25,2.74121579177973,8.01896920583103,-5.27775341405131,1,1
"condition_within_tissue","Foreskin","SSCQ","scaled_diff",13,25,39.1953531539261,42.8330522036561,-3.63769904973,0.738395964770643,0.738395964770643
"condition_within_tissue","Foreskin","SSCQ","yugene_diff",13,25,10.8009688909073,8.01896920583103,2.78199968507627,0.0969885958857193,0.118541617193657
"condition_within_tissue","Foreskin","SIPS","scaled_diff",18,25,60.8957790145147,42.8330522036561,18.0627268108586,6.41068791776957e-10,3.52587835477326e-09
"condition_within_tissue","Foreskin","SIPS","yugene_diff",18,25,34.1220408351073,8.01896920583103,26.1030716292763,3.9844891058137e-09,2.19146900819754e-08
"condition_within_tissue","Foreskin","OIS","scaled_diff",7,25,63.4504020277076,42.8330522036561,20.6173498240515,0.000552014108743808,0.00121443103923638
"condition_within_tissue","Foreskin","OIS","yugene_diff",7,25,20.6270550651583,8.01896920583103,12.6080858593273,0.000877637070629284,0.00193080155538443
"condition_within_tissue","Lung","CICQ","scaled_diff",3,61,18.1258933742531,-8.01231062739908,26.1382040016522,0.0222035907838052,0.0407065831036428
"condition_within_tissue","Lung","CICQ","yugene_diff",3,61,49.058443721461,-0.806575073655454,49.8650187951165,0.00384818371013473,0.00604714583021172
"condition_within_tissue","Lung","SSCQ","scaled_diff",9,61,-12.3394744915426,-8.01231062739908,-4.32716386414352,0.429781959752552,0.472760155727808
"condition_within_tissue","Lung","SSCQ","yugene_diff",9,61,8.39846397818809,-0.806575073655454,9.20503905184354,0.300572152384506,0.330629367622957
"condition_within_tissue","Lung","RS","scaled_diff",9,61,33.3979875931428,-8.01231062739908,41.4102982205419,6.5044201726927e-06,2.38495406332066e-05
"condition_within_tissue","Lung","RS","yugene_diff",9,61,23.8550308141203,-0.806575073655454,24.6616058877758,4.34749797100231e-05,0.000119556194202564
"condition_within_tissue","Lung","SIPS","scaled_diff",18,61,20.8520767663868,-8.01231062739908,28.8643873937858,0.000216204932762976,0.000594563565098183
"condition_within_tissue","Lung","SIPS","yugene_diff",18,61,28.4413219232069,-0.806575073655454,29.2478969968624,5.92230185114673e-06,2.1715106787538e-05
"condition_within_tissue","Lung","OIS","scaled_diff",41,61,27.3632781907446,-8.01231062739908,35.3755888181437,1.54836143906323e-11,1.70319758296955e-10
"condition_within_tissue","Lung","OIS","yugene_diff",41,61,25.1222758158667,-0.806575073655454,25.9288508895222,6.26448448670658e-10,6.89093293537724e-09
"condition_within_tissue","Skin","CICQ","scaled_diff",8,5,54.3888316743601,50.3980994076584,3.99073226670171,0.0450660450660451,0.061965811965812
"condition_within_tissue","Skin","CICQ","yugene_diff",8,5,23.6109355990475,8.0602522054543,15.5506833935932,0.00155400155400155,0.00284900284900285
"condition_within_tissue","Skin","SIPS","scaled_diff",3,5,83.6527375979288,50.3980994076584,33.2546381902704,0.0357142857142857,0.0561224489795918
"condition_within_tissue","Skin","SIPS","yugene_diff",3,5,45.3032959276282,8.0602522054543,37.2430437221739,0.0357142857142857,0.0491071428571429
